id,label,attack_type,source_pcap,window_index,summary
39,normal,,02_normal.pcap,13,"Time window #13: duration=10.0s, total_packets=4424
Protocol mix: TCP=2895, UDP=1529
Top source IPs: 192.168.100.51 (internal_host)=2187, 142.251.156.119=581, 172.217.16.132=363, 172.217.21.228=359, 192.178.24.4=356
Top dest IPs: 192.168.100.51 (internal_host)=2235, 142.251.156.119=659, 172.217.21.228=325, 172.217.16.132=323, 192.178.24.4=317
TCP flags: ACK=2836, PSH=1382, SYN=86, FIN=59, RST=12
TCP distinct_dst_ports=72, top_ports=[(443, 1308), (46744, 265), (44094, 256), (41402, 255), (56666, 252), (53, 51), (80, 49), (60290, 31), (55996, 31), (42462, 26)]
Behavioral indicators: port_scan_signature (distinct_dst_ports=72, SYN=86, RST=12)"
40,normal,,02_normal.pcap,29,"Time window #29: duration=10.0s, total_packets=277
Protocol mix: TCP=217, UDP=60
Top source IPs: 192.168.100.51 (internal_host)=133, 172.217.171.78=31, 3.165.245.25=17, 104.18.38.233=9, 192.178.24.35=5
Top dest IPs: 192.168.100.51 (internal_host)=141, 172.217.171.78=20, 3.165.245.25=14, 104.18.38.233=9, 192.178.24.35=8
TCP flags: ACK=214, PSH=71, FIN=21, RST=3
TCP distinct_dst_ports=59, top_ports=[(443, 71), (80, 36), (46108, 5), (46092, 5), (46076, 5), (60274, 4), (45826, 4), (53816, 4), (41114, 3), (41110, 3)]
Behavioral indicators: none"
41,normal,,02_normal.pcap,41,"Time window #41: duration=9.9s, total_packets=83
Protocol mix: TCP=78, UDP=5, DHCP=2
Top source IPs: 192.168.100.51 (internal_host)=47, 192.168.100.1 (gateway)=24, 172.217.23.131=4, 146.75.116.157=4, 162.159.140.229=4
Top dest IPs: 192.168.100.1 (gateway)=35, 192.168.100.51 (internal_host)=33, 172.217.23.131=4, 146.75.116.157=4, 162.159.140.229=4
TCP flags: ACK=77, PSH=43, FIN=8, RST=1
TCP distinct_dst_ports=8, top_ports=[(22, 32), (45786, 19), (443, 12), (48300, 4), (59772, 4), (44158, 4), (53, 2), (41166, 1)]
DHCP types: REQUEST=1, ACK=1
Behavioral indicators: none"
42,malicious,dhcp_poison,05_dhcp_poisoning.pcap,9,"Time window #9: duration=7.7s, total_packets=18
Protocol mix: UDP=16, DNS=10, DHCP=4
Top source IPs: 192.168.100.200 (internal_host)=12, 192.168.100.50 (kali_attacker)=3, 0.0.0.0=2, 62.106.94.7=1
Top dest IPs: 224.0.0.251=10, 255.255.255.255=2, 192.168.100.200 (internal_host)=2, 224.0.0.22=2, 62.106.94.7=1
DNS queries: count=7, examples=['_ipps._tcp.local', 'd.b.f.8.4.1.8.a.1.9.8.6.f.3.f.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa']
DHCP types: DISCOVER=1, OFFER=1, REQUEST=1, ACK=1
Behavioral indicators: none"
43,malicious,dns_spoof,04_dns_spoofing.pcap,14,"Time window #14: duration=9.5s, total_packets=112
Protocol mix: UDP=68, DNS=64, ICMP=22, ARP=22, DHCP=2
Top source IPs: 192.168.100.150 (internal_host)=44, 192.168.100.1 (gateway)=35, 192.168.100.50 (kali_attacker)=10, 62.106.94.7=1
Top dest IPs: 192.168.100.1 (gateway)=53, 192.168.100.150 (internal_host)=32, 192.168.100.50 (kali_attacker)=4, 62.106.94.7=1
ARP: requests=1, replies=21, distinct_announced_IPs=3
DNS queries: count=18, examples=['ayazaga.com', '1.100.168.192.in-addr.arpa', 'amazon.com']
DHCP types: REQUEST=1, ACK=1
Behavioral indicators: arp_conflict (IP 192.168.100.150 announced by MACs ['00:0c:29:7d:7f:9e', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
44,normal,,02_normal.pcap,15,"Time window #15: duration=10.0s, total_packets=1316
Protocol mix: TCP=1316
Top source IPs: 213.159.5.171=778, 192.168.100.51 (internal_host)=490, 172.66.156.205=6, 80.251.45.14=6, 192.178.24.35=4
Top dest IPs: 192.168.100.51 (internal_host)=826, 213.159.5.171=432, 172.66.156.205=12, 80.251.45.14=6, 23.11.40.157=4
TCP flags: ACK=1316, PSH=798, FIN=2
TCP distinct_dst_ports=43, top_ports=[(49258, 778), (444, 432), (80, 29), (443, 27), (60832, 2), (41150, 2), (53, 2), (48718, 2), (38098, 2), (59024, 2)]
Behavioral indicators: none"
45,normal,,02_normal.pcap,48,"Time window #48: duration=10.0s, total_packets=1032
Protocol mix: TCP=1030, UDP=2
Top source IPs: 192.168.100.1 (gateway)=520, 192.168.100.51 (internal_host)=510, 192.168.100.50 (kali_attacker)=1, 62.106.94.7=1
Top dest IPs: 192.168.100.51 (internal_host)=520, 192.168.100.1 (gateway)=510, 62.106.94.7=1, 192.168.100.50 (kali_attacker)=1
TCP flags: ACK=1030, PSH=1011
TCP distinct_dst_ports=2, top_ports=[(45786, 520), (22, 510)]
Behavioral indicators: none"
46,malicious,dns_spoof,04_dns_spoofing.pcap,1,"Time window #1: duration=6.8s, total_packets=8
Protocol mix: UDP=4, ARP=4, DNS=2
Top source IPs: 192.168.100.50 (kali_attacker)=2, 62.106.94.7=1, 192.168.100.1 (gateway)=1
Top dest IPs: 192.168.100.50 (kali_attacker)=2, 62.106.94.7=1, 192.168.100.1 (gateway)=1
ARP: requests=2, replies=2, distinct_announced_IPs=2
DNS queries: count=1, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: none"
47,normal,,02_normal.pcap,14,"Time window #14: duration=10.0s, total_packets=2069
Protocol mix: TCP=1848, UDP=217, ARP=4
Top source IPs: 192.168.100.51 (internal_host)=894, 213.159.5.171=373, 157.240.234.1=148, 172.66.156.205=147, 146.75.116.157=51
Top dest IPs: 192.168.100.51 (internal_host)=1171, 213.159.5.171=208, 172.66.156.205=130, 157.240.234.1=66, 192.168.100.1 (gateway)=52
TCP flags: ACK=1799, PSH=914, SYN=93, FIN=71, RST=7
TCP distinct_dst_ports=82, top_ports=[(80, 436), (49258, 361), (444, 196), (443, 151), (53, 52), (55386, 35), (55996, 28), (50092, 23), (50102, 21), (50110, 20)]
ARP: requests=2, replies=2, distinct_announced_IPs=2
Behavioral indicators: none"
48,malicious,dhcp_poison,05_dhcp_poisoning.pcap,11,"Time window #11: duration=9.0s, total_packets=26
Protocol mix: UDP=17, DNS=7, DHCP=6, ARP=5
Top source IPs: 192.168.100.200 (internal_host)=10, 192.168.100.1 (gateway)=5, 0.0.0.0=4, 192.168.100.50 (kali_attacker)=2
Top dest IPs: 224.0.0.251=7, 239.255.255.250=4, 224.0.0.22=4, 255.255.255.255=2, 192.168.100.200 (internal_host)=2
ARP: requests=4, replies=1, distinct_announced_IPs=3
DNS queries: count=5, examples=['_ipps._tcp.local', 'd.b.f.8.4.1.8.a.1.9.8.6.f.3.f.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa']
DHCP types: OFFER=2, RELEASE=1, DISCOVER=1, REQUEST=1, ACK=1
DHCP OFFER servers: ['192.168.100.1']
Behavioral indicators: none"
49,malicious,arp_spoof,03_arp_spoof.pcap,12,"Time window #12: duration=10.0s, total_packets=950
Protocol mix: ARP=937, UDP=11, DNS=4, ICMP=2
Top source IPs: 192.168.100.50 (kali_attacker)=9, 192.168.100.51 (internal_host)=2, 192.168.100.1 (gateway)=2
Top dest IPs: 239.255.255.250=4, 192.168.100.50 (kali_attacker)=4, 192.168.100.51 (internal_host)=2, 192.168.100.1 (gateway)=2, 192.168.100.255 (internal_host)=1
ARP: requests=916, replies=21, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
50,normal,,02_normal.pcap,7,"Time window #7: duration=7.4s, total_packets=167
Protocol mix: TCP=165, UDP=2
Top source IPs: 192.168.100.51 (internal_host)=80, 34.120.208.123=41, 192.168.100.1 (gateway)=17, 192.178.24.35=6, 34.107.221.82=5
Top dest IPs: 192.168.100.51 (internal_host)=85, 192.168.100.1 (gateway)=30, 34.120.208.123=24, 192.178.24.35=6, 34.107.221.82=5
TCP flags: ACK=163, PSH=72, SYN=2, FIN=2, RST=1
TCP distinct_dst_ports=23, top_ports=[(443, 35), (57644, 31), (53, 30), (45952, 17), (80, 15), (54656, 10), (36150, 5), (37022, 3), (43254, 2), (37006, 2)]
Behavioral indicators: none"
51,normal,,02_normal.pcap,25,"Time window #25: duration=10.0s, total_packets=823
Protocol mix: TCP=731, UDP=70, ICMP=22
Top source IPs: 192.168.100.51 (internal_host)=394, 208.113.158.104=213, 172.64.150.190=30, 172.66.156.205=22, 151.101.130.137=21
Top dest IPs: 192.168.100.51 (internal_host)=427, 208.113.158.104=190, 172.66.156.205=22, 151.101.130.137=21, 192.168.100.1 (gateway)=18
TCP flags: ACK=725, PSH=309, FIN=21, SYN=8, RST=3
TCP distinct_dst_ports=80, top_ports=[(443, 293), (57858, 209), (80, 49), (53, 18), (59826, 12), (46258, 9), (59820, 9), (34362, 4), (55530, 4), (34852, 3)]
Behavioral indicators: none"
52,malicious,arp_spoof,03_arp_spoof.pcap,16,"Time window #16: duration=10.0s, total_packets=1107
Protocol mix: ARP=1096, UDP=9, DNS=4, ICMP=2
Top source IPs: 192.168.100.50 (kali_attacker)=7, 192.168.100.51 (internal_host)=2, 192.168.100.1 (gateway)=2
Top dest IPs: 192.168.100.50 (kali_attacker)=4, 192.168.100.51 (internal_host)=2, 192.168.100.1 (gateway)=2, 239.255.255.250=2, 192.168.100.255 (internal_host)=1
ARP: requests=1076, replies=20, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: high_arp_reply_rate (count=20)"
53,normal,,02_normal.pcap,33,"Time window #33: duration=10.0s, total_packets=113
Protocol mix: TCP=67, UDP=46
Top source IPs: 192.168.100.51 (internal_host)=52, 172.217.171.78=20, 104.236.86.11=16, 192.178.24.35=5, 192.178.24.17=5
Top dest IPs: 192.168.100.51 (internal_host)=61, 172.217.171.78=14, 104.236.86.11=11, 192.178.24.17=7, 192.178.24.35=5
TCP flags: ACK=67, PSH=20, FIN=15
TCP distinct_dst_ports=19, top_ports=[(443, 23), (80, 8), (33956, 4), (43420, 4), (33964, 3), (33978, 3), (33984, 3), (33976, 3), (36384, 3), (59688, 3)]
Behavioral indicators: none"
54,malicious,dns_spoof,04_dns_spoofing.pcap,11,"Time window #11: duration=9.5s, total_packets=51
Protocol mix: ARP=22, UDP=22, DNS=22, ICMP=7
Top source IPs: 192.168.100.1 (gateway)=14, 192.168.100.150 (internal_host)=12, 192.168.100.50 (kali_attacker)=3
Top dest IPs: 192.168.100.1 (gateway)=15, 192.168.100.150 (internal_host)=12, 192.168.100.50 (kali_attacker)=2
ARP: requests=1, replies=21, distinct_announced_IPs=3
DNS queries: count=8, examples=['1.100.168.192.in-addr.arpa', 'google.com']
Behavioral indicators: arp_conflict (IP 192.168.100.150 announced by MACs ['00:0c:29:7d:7f:9e', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
55,malicious,arp_spoof,03_arp_spoof.pcap,6,"Time window #6: duration=10.0s, total_packets=1236
Protocol mix: ARP=1215, UDP=16, DNS=4, ICMP=1
Top source IPs: 192.168.100.50 (kali_attacker)=7, 192.168.100.1 (gateway)=6, 192.168.100.51 (internal_host)=4
Top dest IPs: 239.255.255.250=9, 192.168.100.50 (kali_attacker)=3, 192.168.100.255 (internal_host)=2, 192.168.100.1 (gateway)=2, 192.168.100.51 (internal_host)=1
ARP: requests=1199, replies=16, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.51 announced by MACs ['00:0c:29:7d:7f:9e', '00:0c:29:84:7f:8a'])"
56,malicious,port_scan_recon,01_recon_and_scan.pcap,2,"Time window #2: duration=9.4s, total_packets=534
Protocol mix: ARP=526, UDP=8, DNS=6
Top source IPs: 192.168.100.50 (kali_attacker)=4, 192.168.100.1 (gateway)=3, 62.106.94.7=1
Top dest IPs: 192.168.100.50 (kali_attacker)=4, 192.168.100.1 (gateway)=3, 62.106.94.7=1
ARP: requests=515, replies=11, distinct_announced_IPs=3
DNS queries: count=3, examples=['51.100.168.192.in-addr.arpa', '1.100.168.192.in-addr.arpa', '50.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:50:56:c0:00:02'])"
57,malicious,arp_spoof,03_arp_spoof.pcap,19,"Time window #19: duration=10.0s, total_packets=907
Protocol mix: ARP=862, ICMP=32, UDP=12, DNS=5
Top source IPs: 192.168.100.50 (kali_attacker)=20, 192.168.100.51 (internal_host)=12, 192.168.100.1 (gateway)=12
Top dest IPs: 192.168.100.1 (gateway)=17, 192.168.100.51 (internal_host)=17, 239.255.255.250=4, 192.168.100.50 (kali_attacker)=4, 224.0.0.251=1
ARP: requests=841, replies=21, distinct_announced_IPs=3
DNS queries: count=3, examples=['_services._dns-sd._udp.local', '1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
58,malicious,dns_spoof,04_dns_spoofing.pcap,5,"Time window #5: duration=9.5s, total_packets=29
Protocol mix: ARP=24, UDP=5, DNS=5
Top source IPs: 192.168.100.50 (kali_attacker)=2, 192.168.100.1 (gateway)=2, 192.168.100.150 (internal_host)=1
Top dest IPs: 192.168.100.1 (gateway)=2, 192.168.100.50 (kali_attacker)=2, 224.0.0.251=1
ARP: requests=2, replies=22, distinct_announced_IPs=3
DNS queries: count=3, examples=['1.100.168.192.in-addr.arpa', '_nfs._tcp.local']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=22)"
59,malicious,dns_spoof,04_dns_spoofing.pcap,12,"Time window #12: duration=9.5s, total_packets=26
Protocol mix: ARP=20, UDP=6, DNS=4
Top source IPs: 192.168.100.50 (kali_attacker)=3, 192.168.100.1 (gateway)=2, 62.106.94.7=1
Top dest IPs: 192.168.100.50 (kali_attacker)=3, 192.168.100.1 (gateway)=2, 62.106.94.7=1
ARP: requests=0, replies=20, distinct_announced_IPs=2
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: high_arp_reply_rate (count=20)"
60,normal,,02_normal.pcap,12,"Time window #12: duration=10.0s, total_packets=1318
Protocol mix: UDP=810, TCP=508
Top source IPs: 192.168.100.51 (internal_host)=497, 142.251.155.119=339, 142.251.157.119=92, 104.18.2.152=83, 192.178.24.8=49
Top dest IPs: 192.168.100.51 (internal_host)=821, 142.251.155.119=106, 104.18.2.152=80, 192.168.100.1 (gateway)=56, 142.251.157.119=52
TCP flags: ACK=489, PSH=208, SYN=26, FIN=9, RST=7
TCP distinct_dst_ports=43, top_ports=[(443, 168), (42462, 72), (53, 56), (80, 32), (45952, 30), (46306, 20), (55996, 15), (60284, 10), (46290, 10), (42468, 10)]
Behavioral indicators: none"
61,malicious,dhcp_poison,05_dhcp_poisoning.pcap,5,"Time window #5: duration=2.7s, total_packets=6
Protocol mix: ARP=6
ARP: requests=3, replies=3, distinct_announced_IPs=3
Behavioral indicators: none"
62,malicious,dhcp_poison,05_dhcp_poisoning.pcap,1,"Time window #1: duration=7.7s, total_packets=10
Protocol mix: TCP=7, UDP=3, DHCP=1
Top source IPs: 192.168.100.51 (internal_host)=8, 192.168.100.50 (kali_attacker)=1, 62.106.94.7=1
Top dest IPs: 192.168.100.1 (gateway)=8, 62.106.94.7=1, 192.168.100.50 (kali_attacker)=1
TCP flags: SYN=7
TCP distinct_dst_ports=1, top_ports=[(53, 7)]
DHCP types: REQUEST=1
Behavioral indicators: none"
63,normal,,02_normal.pcap,5,"Time window #5: duration=9.6s, total_packets=3627
Protocol mix: UDP=2995, TCP=631, ICMP=1
Top source IPs: 212.154.111.12=1463, 192.168.100.51 (internal_host)=824, 172.217.23.150=546, 142.251.208.110=318, 172.217.18.161=169
Top dest IPs: 192.168.100.51 (internal_host)=2800, 212.154.111.12=213, 142.251.208.110=167, 172.217.18.161=106, 172.217.23.150=78
TCP flags: ACK=611, PSH=278, SYN=26, FIN=14, RST=7
TCP distinct_dst_ports=25, top_ports=[(443, 238), (34070, 86), (53, 53), (59058, 34), (80, 32), (40262, 29), (33042, 23), (58930, 17), (39466, 15), (40844, 14)]
Behavioral indicators: none"
64,malicious,dns_spoof,04_dns_spoofing.pcap,13,"Time window #13: duration=9.5s, total_packets=28
Protocol mix: ARP=24, UDP=4, DNS=4
Top source IPs: 192.168.100.50 (kali_attacker)=2, 192.168.100.1 (gateway)=2
Top dest IPs: 192.168.100.1 (gateway)=2, 192.168.100.50 (kali_attacker)=2
ARP: requests=2, replies=22, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=22)"
65,malicious,arp_spoof,03_arp_spoof.pcap,21,"Time window #21: duration=9.5s, total_packets=1018
Protocol mix: ARP=1000, ICMP=10, UDP=8, DNS=4
Top source IPs: 192.168.100.50 (kali_attacker)=7, 192.168.100.51 (internal_host)=5, 8.8.8.8=4, 192.168.100.1 (gateway)=2
Top dest IPs: 192.168.100.51 (internal_host)=6, 8.8.8.8=4, 192.168.100.50 (kali_attacker)=3, 192.168.100.1 (gateway)=2, 239.255.255.250=2
ARP: requests=979, replies=21, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
66,malicious,dhcp_poison,05_dhcp_poisoning.pcap,19,"Time window #19: duration=9.5s, total_packets=26
Protocol mix: UDP=17, DNS=11, DHCP=6, ARP=5
Top source IPs: 192.168.100.200 (internal_host)=11, 0.0.0.0=4, 192.168.100.150 (internal_host)=3, 192.168.100.50 (kali_attacker)=2, 192.168.100.1 (gateway)=1
Top dest IPs: 224.0.0.251=11, 224.0.0.22=4, 255.255.255.255=2, 192.168.100.200 (internal_host)=2, 192.168.100.1 (gateway)=1
ARP: requests=2, replies=3, distinct_announced_IPs=3
DNS queries: count=7, examples=['_ipps._tcp.local', 'd.b.f.8.4.1.8.a.1.9.8.6.f.3.f.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa']
DHCP types: OFFER=2, RELEASE=1, DISCOVER=1, REQUEST=1, ACK=1
DHCP OFFER servers: ['192.168.100.1']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:50:56:c0:00:02'])"
67,malicious,dns_spoof,04_dns_spoofing.pcap,10,"Time window #10: duration=9.5s, total_packets=26
Protocol mix: ARP=22, UDP=4, DNS=4
Top source IPs: 192.168.100.50 (kali_attacker)=2, 192.168.100.1 (gateway)=2
Top dest IPs: 192.168.100.1 (gateway)=2, 192.168.100.50 (kali_attacker)=2
ARP: requests=1, replies=21, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
68,normal,,02_normal.pcap,9,"Time window #9: duration=10.0s, total_packets=1501
Protocol mix: TCP=792, UDP=709
Top source IPs: 192.168.100.51 (internal_host)=580, 142.251.155.119=373, 192.0.33.8=255, 172.217.16.138=50, 142.251.142.110=36
Top dest IPs: 192.168.100.51 (internal_host)=921, 192.0.33.8=236, 142.251.155.119=85, 192.168.100.1 (gateway)=50, 172.217.16.138=34
TCP flags: ACK=782, PSH=373, SYN=20, FIN=18
TCP distinct_dst_ports=44, top_ports=[(443, 308), (58816, 225), (53, 50), (80, 42), (45952, 25), (41150, 9), (52936, 9), (34228, 9), (49184, 9), (58760, 8)]
Behavioral indicators: none"
69,malicious,dns_spoof,04_dns_spoofing.pcap,19,"Time window #19: duration=9.6s, total_packets=1185
Protocol mix: TCP=746, UDP=403, DNS=388, ARP=20, ICMP=16
Top source IPs: 192.168.100.150 (internal_host)=520, 192.168.100.1 (gateway)=200, 192.168.100.50 (kali_attacker)=124, 34.107.221.82=108, 34.120.208.123=61
Top dest IPs: 192.168.100.150 (internal_host)=425, 192.168.100.1 (gateway)=204, 192.168.100.50 (kali_attacker)=134, 34.107.221.82=114, 34.120.208.123=97
TCP flags: ACK=666, PSH=261, SYN=104, FIN=59, RST=56
TCP distinct_dst_ports=51, top_ports=[(443, 300), (80, 116), (58122, 50), (58106, 46), (58622, 8), (58582, 8), (42412, 8), (54034, 7), (39296, 7), (58562, 7)]
ARP: requests=0, replies=20, distinct_announced_IPs=2
DNS queries: count=182, examples=['1.100.168.192.in-addr.arpa', 'content-signature-2.cdn.mozilla.net', 'detectportal.firefox.com', 'ads.mozilla.org', 'example.org', 'cloudflare-dns.com', 'ipv4only.arpa', 'firefox.settings.services.mozilla.com']
Behavioral indicators: port_scan_signature (distinct_dst_ports=51, SYN=104, RST=56); high_arp_reply_rate (count=20)"
70,malicious,dhcp_poison,05_dhcp_poisoning.pcap,13,"Time window #13: duration=9.3s, total_packets=38
Protocol mix: UDP=8, ARP=5, DNS=1, ICMP=1
Top source IPs: 192.168.100.1 (gateway)=14, 192.168.100.200 (internal_host)=3, 192.168.100.50 (kali_attacker)=1, 185.125.190.56=1
Top dest IPs: 224.0.0.22=10, 224.0.0.252=4, 185.125.190.56=2, 192.168.100.200 (internal_host)=2, 224.0.0.251=1
ARP: requests=2, replies=3, distinct_announced_IPs=3
DNS queries: count=1, examples=['_ipps._tcp.local']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:50:56:c0:00:02'])"
71,normal,,02_normal.pcap,37,"Time window #37: duration=9.6s, total_packets=605
Protocol mix: TCP=603, UDP=2
Top source IPs: 192.168.100.51 (internal_host)=303, 192.168.100.1 (gateway)=284, 104.18.38.233=9, 192.178.24.35=3, 151.101.193.91=2
Top dest IPs: 192.168.100.51 (internal_host)=300, 192.168.100.1 (gateway)=287, 104.18.38.233=9, 192.178.24.35=3, 151.101.193.91=2
TCP flags: ACK=603, PSH=572, FIN=6
TCP distinct_dst_ports=12, top_ports=[(22, 287), (45786, 284), (80, 12), (443, 4), (51856, 3), (51842, 3), (51868, 3), (56474, 2), (59826, 2), (45562, 1)]
Behavioral indicators: none"
72,normal,,02_normal.pcap,39,"Time window #39: duration=7.8s, total_packets=283
Protocol mix: TCP=283
Top source IPs: 192.168.100.51 (internal_host)=142, 192.168.100.1 (gateway)=124, 192.178.24.35=15, 172.217.23.131=2
Top dest IPs: 192.168.100.51 (internal_host)=141, 192.168.100.1 (gateway)=125, 192.178.24.35=15, 172.217.23.131=2
TCP flags: ACK=283, PSH=253, FIN=10
TCP distinct_dst_ports=10, top_ports=[(22, 125), (45786, 124), (80, 15), (44942, 3), (45556, 3), (45562, 3), (42368, 3), (45554, 3), (443, 2), (46878, 2)]
Behavioral indicators: none"
73,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,2,"Time window #2: duration=9.8s, total_packets=267
Protocol mix: ARP=264, UDP=3
Top source IPs: 192.168.100.1 (gateway)=3
Top dest IPs: 239.255.255.250=3
ARP: requests=257, replies=7, distinct_announced_IPs=4
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:50:56:c0:00:02'])"
74,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,13,"Time window #13: duration=9.6s, total_packets=56
Protocol mix: UDP=46, ICMP=8, ARP=2, DNS=2
Top source IPs: 192.168.100.50 (kali_attacker)=45, 192.168.100.150 (internal_host)=8, 192.168.100.1 (gateway)=1
Top dest IPs: 192.168.100.150 (internal_host)=44, 192.168.100.50 (kali_attacker)=9, 192.168.100.1 (gateway)=1
ARP: requests=1, replies=1, distinct_announced_IPs=2
DNS queries: count=1, examples=['150.100.168.192.in-addr.arpa']
Behavioral indicators: none"
75,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,1,"Time window #1: duration=9.5s, total_packets=518
Protocol mix: ARP=513, UDP=5, DHCP=2
Top source IPs: 192.168.100.50 (kali_attacker)=2, 192.168.100.1 (gateway)=2, 62.106.94.7=1
Top dest IPs: 192.168.100.50 (kali_attacker)=2, 62.106.94.7=1, 192.168.100.1 (gateway)=1, 239.255.255.250=1
ARP: requests=509, replies=4, distinct_announced_IPs=4
DHCP types: REQUEST=1, ACK=1
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:50:56:c0:00:02'])"
76,malicious,dns_spoof,04_dns_spoofing.pcap,22,"Time window #22: duration=9.6s, total_packets=26
Protocol mix: ARP=22, UDP=4, DNS=4
Top source IPs: 192.168.100.50 (kali_attacker)=2, 192.168.100.1 (gateway)=2
Top dest IPs: 192.168.100.1 (gateway)=2, 192.168.100.50 (kali_attacker)=2
ARP: requests=1, replies=21, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
77,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,15,"Time window #15: duration=7.8s, total_packets=82
Protocol mix: UDP=72, ARP=6, DNS=4, ICMP=4, DHCP=2
Top source IPs: 192.168.100.50 (kali_attacker)=68, 192.168.100.150 (internal_host)=4, 192.168.100.1 (gateway)=2, 192.168.100.51 (internal_host)=1, 62.106.94.7=1
Top dest IPs: 192.168.100.150 (internal_host)=67, 192.168.100.50 (kali_attacker)=5, 192.168.100.1 (gateway)=1, 192.168.100.51 (internal_host)=1, 224.0.0.251=1
ARP: requests=3, replies=3, distinct_announced_IPs=3
DNS queries: count=3, examples=['_services._dns-sd._udp.local', '_apple-mobdev._tcp.local']
DHCP types: REQUEST=1, ACK=1
Behavioral indicators: none"
78,malicious,dns_spoof,04_dns_spoofing.pcap,15,"Time window #15: duration=9.8s, total_packets=35
Protocol mix: ARP=20, UDP=12, DNS=12, ICMP=3
Top source IPs: 192.168.100.1 (gateway)=6, 192.168.100.150 (internal_host)=6, 192.168.100.50 (kali_attacker)=3
Top dest IPs: 192.168.100.1 (gateway)=9, 192.168.100.150 (internal_host)=4, 192.168.100.50 (kali_attacker)=2
ARP: requests=0, replies=20, distinct_announced_IPs=2
DNS queries: count=4, examples=['1.100.168.192.in-addr.arpa', 'ayazaga.com']
Behavioral indicators: high_arp_reply_rate (count=20)"
79,malicious,dhcp_poison,05_dhcp_poisoning.pcap,3,"Time window #3: duration=3.0s, total_packets=142408
Protocol mix: UDP=142400, DHCP=142396, TCP=8, DNS=4
Top source IPs: 0.0.0.0=142396, 192.168.100.51 (internal_host)=6, 185.125.190.101=4, 192.168.100.1 (gateway)=2
Top dest IPs: 255.255.255.255=142396, 192.168.100.51 (internal_host)=6, 185.125.190.101=4, 192.168.100.1 (gateway)=2
TCP flags: ACK=7, SYN=2, PSH=2, FIN=2
TCP distinct_dst_ports=2, top_ports=[(80, 4), (37682, 4)]
DNS queries: count=2, examples=['connectivity-check.ubuntu.com']
DHCP types: DISCOVER=142396
Behavioral indicators: high_dhcp_discover_rate (count=142396)"
